"ID","Drone","Varroa","Day","Mo","Year","Geocluster","City_original","City_rename","State","Country","Latitude","Longitude","Other_obs","Weather","Collector","Beekeeper","S_sample","S_site"
"2015_A","","Unknown",22,3,1988,"TAM","SAN FELIPE","SAN FELIPE","TAMAULIPAS","MEXICO",23.4,-98.1,"RUSTICA ABEJAS NEGRAS",NA,"WLR, ISMAEL, DEO","GONZALO BERNAL MARES",NA,NA
"2015_B","","Unknown",22,3,1988,"TAM","SAN FELIPE","SAN FELIPE","TAMAULIPAS","MEXICO",23.4,-98.1,"RUSTICA ABEJAS NEGRAS",NA,"WLR, ISMAEL, DEO","GONZALO BERNAL MARES",NA,NA
"2039_A","","Unknown",7,4,1988,"TAM","KM 9, CAR. A PESCA","","TAMAULIPAS","MEXICO",NA,NA,"KM 9 LAS TUNAS RUSTICAS",NA,"WLR, WILSON, RIVERA AND GUTIERREZ IBARRA","ALFONSO ARREGUIN",NA,NA
"2039_B","","Unknown",7,4,1988,"TAM","KM 9, CAR. A PESCA","","TAMAULIPAS","MEXICO",NA,NA,"KM 9 LAS TUNAS RUSTICAS",NA,"WLR, WILSON, RIVERA AND GUTIERREZ IBARRA","ALFONSO ARREGUIN",NA,NA
"208316_A","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"208316_B","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"208326_A","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"208326_B","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"208415_A","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"208415_B","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"220446_A","YES","Unknown",24,5,1991,"BOR","LAGUNA","","TEXAS","USA",29.908037,-98.358042,"RAIN GAUGE WAS STOLEN! STATION 3 = (TRAP A NOTES) NO WORKER BROOD;QUEEN NOT FOUND;DURING WEIGHING EITHER.",NA,NA,NA,22.0446,22
"220446_B","","Unknown",24,5,1991,"BOR","LAGUNA","","TEXAS","USA",29.908037,-98.358042,"RAIN GAUGE WAS STOLEN! STATION 3 = (TRAP A NOTES) NO WORKER BROOD;QUEEN NOT FOUND;DURING WEIGHING EITHER.",NA,NA,NA,22.0446,22
