SAMPLE_ID,Drone,Day,Mo,Year,City_original,State,Country,Location-new,Geocluster,Latitude,Longitude,Collector,Varroa,Other_obs,Weather,Beekeeper
1877,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"1.00KG, POCO POLEN Y MIEL, NO ZANG",DESPEJADO,TRAPLINE
1878,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.800KG, POCA MIEL Y POLEN, NO ZANG",MEDIO NUBLADO,TRAPLINE
1879,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"2.100KG, PPOLEN MIEL Y ZANGANOS",MEDIO NUBLADO,TRAPLINE
1880,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.900KG, MIEL Y POLEN, NO ZANG, 1 COPACELDA DE REINA",MEDIO NUBLADO,TRAPLINE
1881,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.650KG, POCA MIEL Y POLEN, NO ZANG",MEDIO NUBLADO,TRAPLINE
1882,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.600KG, MIEL Y POLEN, NO ZANG",MEDIO NUBLADO,TRAPLINE
1883,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.750KG, POCA MIEL Y POLEN, NO ZANG",NUBLADO,TRAPLINE
1884,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"0.750KG, POCA MIEL Y POLEN, NO ZANG",NUBLADO,TRAPLINE
1885_A,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"1.500KG, MIEL Y POLEN, NO ZANG",NUBLADO,TRAPLINE
1885_B,,19,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"1.500KG, MIEL Y POLEN, NO ZANG",NUBLADO,TRAPLINE
1886,,20,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"1.00KG, MIEL Y POCO POLEN, NO ZANG",NUBLADO CON LLUVIA,TRAPLINE
1887,,20,9,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"2.275KG, POCA MIEL Y POLEN, NO ZANG",NUBLADO CON FRIO,TRAPLINE
1901,,13,8,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"TRASIEGO #14 (SIN REINA?) F1 POR ESCASER DE ABEJAS, SAMPLE NUMBER DUPLICATED IN SEPT; SEPT 1901 CHANGED TO 1907",DESPEJADO,TRAPLINE
1902,,13,8,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"TRASIEGO #15 (SIN REINA?), SAMPLE NUMBER DUPLICATED IN SEPT; SEPT 1902 CHANGED TO 1908",DESPEJADO,TRAPLINE
1903,,13,8,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"ABORTED TRASIEGO, PANALES SE CAYERON, THIS SAMPLE NUMBER DUPLICATED IN SEPT; SEPT 1903 CHANGED TO 1909",DESPEJADO,TRAPLINE
1904,,13,8,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"TRASIEGO #16, LAS REINAS SE ENJAULERON PARA DESPUES CONGELADAS",DESPEJADO,TRAPLINE
1905,,13,8,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"TRASIEGO #17, LAS REINAS SE ENJAULERON PARA DESPUES CONGELADAS",DESPEJADO,TRAPLINE
1906,YES,13,8,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,JHZM,NA,"TRASIEGO #18, LAS REINAS SE ENJAULERON PARA DESPUES CONGELADAS",DESPEJADO,TRAPLINE
1922,,15,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.400KG, POCA MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1923,,15,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.650KG, MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1924,,15,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"1.250KG, POCA MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1925,,15,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"1.300KG, MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1926,,15,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"2.200KG, MIEL Y POLEN",DESPEJADO,TRAPLINE
1927,,15,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.750KG, MIEL Y POLEN, NO ZANG, QUEEN??",DESPEJADO,TRAPLINE
1928,,15,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.800KG, POCO MIEL Y POLEN, QUEEN??",DESPEJADO,TRAPLINE
1929,,16,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.650KG, MIEL Y POLEN, PRES DE ZANG",DESPEJADO,TRAPLINE
1930,,16,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"1.150KG, NO HAY PANALES, NO SAMPLES CIRCLED",DESPEJADO,TRAPLINE
1931,,16,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.400KG, PRES DE ZANG, MIEL Y POLEN",DESPEJADO,TRAPLINE
